Date,Open,High,Low,Close,Volume,Adj Close
2008-09-26,428.00,437.16,421.03,431.04,5292500,431.04
2008-09-25,438.84,450.00,435.98,439.60,5020300,439.60
2008-09-24,430.34,445.00,430.11,435.11,4242000,435.11
2008-09-23,433.25,440.79,425.72,429.27,5204200,429.27
2008-09-22,454.13,454.13,429.00,430.14,4407300,430.14
2008-09-19,461.00,462.07,443.28,449.15,10006000,449.15
2008-09-18,422.64,439.18,410.50,439.08,8589400,439.08
2008-09-17,438.48,439.14,413.44,414.49,9126900,414.49
2008-09-16,425.96,449.28,425.49,442.93,6990700,442.93
2008-09-15,424.00,441.97,423.71,433.86,6567400,433.86
2008-09-12,430.21,441.99,429.00,437.66,6028000,437.66
2008-09-11,408.35,435.09,406.38,433.75,6471400,433.75
2008-09-10,424.47,424.48,409.68,414.16,6226800,414.16
2008-09-09,423.17,432.38,415.00,418.66,7229600,418.66
2008-09-08,452.02,452.94,417.55,419.95,9017900,419.95
2008-09-05,445.49,452.46,440.08,444.25,4534300,444.25
2008-09-04,460.00,463.24,449.40,450.26,4848500,450.26
2008-09-03,468.73,474.29,459.58,464.41,4314600,464.41
2008-09-02,476.77,482.18,461.42,465.25,6111500,465.25
2008-08-29,469.75,471.01,462.33,463.29,3848200,463.29
2008-08-28,472.49,476.45,470.33,473.78,3029700,473.78
2008-08-27,473.73,474.83,464.84,468.58,4387100,468.58
2008-08-26,483.46,483.46,470.59,474.16,3308200,474.16
2008-08-25,486.11,497.00,481.50,483.01,2014300,483.01
2008-08-22,491.50,494.88,489.48,490.59,2297200,490.59
2008-08-21,482.92,489.90,479.27,486.53,3514100,486.53
2008-08-20,494.72,496.69,482.57,485.00,3982100,485.00
2008-08-19,490.43,498.28,486.63,490.50,3046500,490.50
2008-08-18,509.84,510.00,495.51,498.30,3333900,498.30
2008-08-15,506.99,510.66,505.50,510.15,3545700,510.15
2008-08-14,497.70,507.61,496.29,505.49,2918600,505.49
2008-08-13,501.60,503.54,493.88,500.03,3625500,500.03
2008-08-12,502.00,506.13,498.00,502.61,2755700,502.61
2008-08-11,492.47,508.88,491.78,500.84,4239300,500.84
2008-08-08,480.15,495.75,475.69,495.01,3739300,495.01
2008-08-07,482.00,484.00,476.41,479.12,2773800,479.12
2008-08-06,478.37,489.77,472.51,486.34,3375800,486.34
2008-08-05,467.59,480.08,466.33,479.85,3584500,479.85
2008-08-04,468.12,473.01,461.90,463.00,2487000,463.00
2008-08-01,472.51,473.22,462.50,467.86,3007900,467.86
2008-07-31,474.56,480.89,471.44,473.75,2865100,473.75
2008-07-30,485.50,486.02,472.81,482.70,3490700,482.70
2008-07-29,479.30,487.26,478.00,483.11,2802800,483.11
2008-07-28,492.09,492.09,475.13,477.12,3160000,477.12
2008-07-25,486.49,493.13,481.50,491.98,3183500,491.98
2008-07-24,496.70,496.87,475.62,475.62,3540900,475.62
2008-07-23,481.61,497.23,478.10,489.22,4894100,489.22
2008-07-22,466.72,480.25,465.60,477.11,4691500,477.11
2008-07-21,480.88,484.09,465.70,468.80,5901500,468.80
2008-07-18,498.35,498.98,478.19,481.32,11292400,481.32
2008-07-17,534.16,537.05,524.50,533.44,8787400,533.44
2008-07-16,514.04,536.50,510.60,535.60,4742200,535.60
2008-07-15,516.28,527.50,501.10,516.09,6071000,516.09
2008-07-14,539.00,540.06,515.45,521.62,4424800,521.62
2008-07-11,536.50,539.50,519.43,533.80,4981400,533.80
2008-07-10,545.00,549.50,530.72,540.57,4331700,540.57
2008-07-09,550.76,555.68,540.73,541.55,4154000,541.55
2008-07-08,545.99,555.19,540.00,554.53,4932400,554.53
2008-07-07,542.30,549.00,535.60,543.91,4255200,543.91
2008-07-03,530.88,539.23,527.50,537.00,2400500,537.00
2008-07-02,536.51,540.38,526.06,527.04,4223000,527.04
2008-07-01,519.58,536.72,517.00,534.73,4959900,534.73
2008-06-30,532.47,538.00,523.06,526.42,3765300,526.42
2008-06-27,527.68,530.00,515.09,528.07,5447500,528.07
2008-06-26,544.10,544.93,528.26,528.82,5659500,528.82
2008-06-25,544.97,557.80,543.67,551.00,4122200,551.00
2008-06-24,545.14,551.19,535.10,542.30,4672600,542.30
2008-06-23,545.36,553.15,542.02,545.21,3635900,545.21
2008-06-20,556.98,556.98,544.51,546.43,5983100,546.43
2008-06-19,555.35,563.78,550.81,560.20,5683100,560.20
2008-06-18,564.51,568.99,559.16,562.38,3381200,562.38
2008-06-17,576.35,578.07,568.38,569.46,3462900,569.46
2008-06-16,566.50,579.10,566.50,572.81,3542800,572.81
2008-06-13,561.49,575.70,561.34,571.51,6184400,571.51
2008-06-12,548.76,558.00,546.88,552.95,5491600,552.95
2008-06-11,556.24,557.34,544.46,545.20,3812900,545.20
2008-06-10,549.56,558.82,546.78,554.17,3657400,554.17
2008-06-09,568.06,570.00,545.40,557.87,5288300,557.87
2008-06-06,579.75,580.72,567.00,567.00,4734500,567.00
2008-06-05,577.08,588.04,576.21,586.30,3916700,586.30
2008-06-04,565.33,578.00,564.55,572.22,3363200,572.22
2008-06-03,576.50,580.50,560.61,567.30,4305300,567.30
2008-06-02,582.50,583.89,571.27,575.00,3674200,575.00
2008-05-30,583.47,589.92,581.30,585.80,3225200,585.80
2008-05-29,574.79,585.88,573.20,583.00,4845000,583.00
2008-05-28,567.94,571.49,561.10,568.24,4050400,568.24
2008-05-27,544.96,562.60,543.85,560.90,3865500,560.90
2008-05-23,546.96,553.00,537.81,544.62,4431500,544.62
2008-05-22,551.95,554.21,540.25,549.46,5076300,549.46
2008-05-21,578.52,581.41,547.89,549.99,6468100,549.99
2008-05-20,574.63,582.48,572.91,578.60,3313600,578.60
2008-05-19,578.55,588.88,573.52,577.52,5604500,577.52
2008-05-16,581.43,584.68,578.32,580.07,4274100,580.07
2008-05-15,579.00,582.95,575.61,581.00,4342700,581.00
2008-05-14,586.49,591.19,575.25,576.30,4375800,576.30
2008-05-13,586.23,587.95,578.55,583.00,5163500,583.00
2008-05-12,574.75,586.75,568.91,584.94,4863900,584.94
2008-05-09,579.00,585.00,571.30,573.20,4484900,573.20
2008-05-08,586.20,589.30,578.91,583.01,5122900,583.01
2008-05-07,590.27,599.49,576.43,579.00,6613000,579.00
2008-05-06,591.00,592.00,583.00,586.36,4629300,586.36
2008-05-05,598.86,599.00,587.13,594.90,6281000,594.90
2008-05-02,598.49,602.45,579.30,581.29,6998800,581.29
2008-05-01,578.31,594.93,576.97,593.08,6602800,593.08
2008-04-30,562.21,584.86,558.47,574.29,7903000,574.29
2008-04-29,550.83,563.40,550.01,558.47,4346000,558.47
2008-04-28,545.88,556.81,539.00,552.12,4008600,552.12
2008-04-25,549.02,553.00,542.73,544.06,4164400,544.06
2008-04-24,551.29,554.49,540.02,543.04,4135100,543.04
2008-04-23,557.94,559.31,540.95,546.49,4921500,546.49
2008-04-22,537.57,560.83,537.56,555.00,7938500,555.00
2008-04-21,539.39,542.59,530.29,537.79,7439700,537.79
2008-04-18,535.21,547.70,524.77,539.41,18235600,539.41
2008-04-17,455.63,459.37,446.52,449.54,13353000,449.54
2008-04-16,444.40,458.28,441.00,455.03,7630700,455.03
2008-04-15,458.13,459.72,443.72,446.84,4577600,446.84
2008-04-14,457.16,457.45,450.15,451.66,3842600,451.66
2008-04-11,464.07,467.26,455.01,457.45,4169700,457.45
2008-04-10,464.96,473.86,461.85,469.08,5072400,469.08
2008-04-09,469.13,472.00,457.54,464.19,6048100,464.19
2008-04-08,473.04,474.14,462.01,467.81,4547000,467.81
2008-04-07,477.03,485.44,473.53,476.82,5943500,476.82
2008-04-04,457.01,477.83,456.20,471.09,5897200,471.09
2008-04-03,461.73,463.29,448.13,455.12,6778400,455.12
2008-04-02,469.90,475.74,460.39,465.70,5999000,465.70
2008-04-01,447.74,466.50,446.87,465.71,6093100,465.71
2008-03-31,435.64,442.69,432.01,440.47,4446400,440.47
2008-03-28,447.46,453.57,434.31,438.08,4376200,438.08
2008-03-27,446.00,448.61,440.49,444.08,5832200,444.08
2008-03-26,452.59,462.87,449.29,458.19,5225700,458.19
2008-03-25,457.46,457.47,446.00,450.78,5831600,450.78
2008-03-24,438.43,465.78,437.72,460.56,6763500,460.56
2008-03-20,427.32,435.70,417.50,433.55,9913400,433.55
2008-03-19,441.11,447.50,431.67,432.00,6179000,432.00
2008-03-18,428.98,440.84,425.53,439.16,7237200,439.16
2008-03-17,427.99,433.71,412.11,419.87,7888200,419.87
2008-03-14,442.98,449.34,430.62,437.92,6574400,437.92
2008-03-13,432.67,446.98,428.78,443.01,7726600,443.01
2008-03-12,440.01,447.88,438.07,440.18,6651900,440.18
2008-03-11,425.26,440.15,424.65,439.84,8826900,439.84
2008-03-10,428.83,431.00,413.04,413.62,7987600,413.62
2008-03-07,428.88,440.00,426.24,433.35,8071800,433.35
2008-03-06,447.69,453.30,431.18,432.70,7470100,432.70
2008-03-05,445.25,454.17,444.00,447.70,7436600,447.70
2008-03-04,450.95,453.36,435.78,444.60,13621700,444.60
2008-03-03,471.51,472.72,450.11,457.02,7554500,457.02
2008-02-29,471.87,479.74,464.65,471.18,9425400,471.18
2008-02-28,470.50,479.09,467.36,475.39,6586900,475.39
2008-02-27,460.13,475.49,459.64,472.86,10121900,472.86
2008-02-26,461.20,466.47,446.85,464.19,23287300,464.19
2008-02-25,505.95,506.50,485.74,486.44,8372800,486.44
2008-02-22,502.06,509.00,497.55,507.80,5515900,507.80
2008-02-21,512.85,513.21,499.50,502.86,5677800,502.86
2008-02-20,503.51,511.01,498.82,509.00,6662200,509.00
2008-02-19,534.94,535.06,506.50,508.95,6350400,508.95
2008-02-15,528.31,532.66,524.33,529.64,5240100,529.64
2008-02-14,538.35,541.04,531.00,532.25,6476700,532.25
2008-02-13,522.50,534.99,518.69,534.62,6624700,534.62
2008-02-12,523.39,530.60,513.03,518.09,6662300,518.09
2008-02-11,520.52,523.71,513.40,521.16,5826000,521.16
2008-02-08,509.41,517.73,508.70,516.69,6828900,516.69
2008-02-07,496.86,514.19,494.76,504.95,7928900,504.95
2008-02-06,511.14,511.17,497.93,501.71,7636400,501.71
2008-02-05,489.43,509.00,488.52,506.80,11203300,506.80
2008-02-04,509.07,512.78,492.55,495.43,13157100,495.43
2008-02-01,528.67,536.67,510.00,515.90,17600500,515.90
2008-01-31,539.01,573.00,534.29,564.30,14871300,564.30
2008-01-30,549.19,560.43,543.51,548.27,7939600,548.27
2008-01-29,560.47,561.33,540.67,550.52,6283000,550.52
2008-01-28,570.97,572.24,548.60,555.98,5816700,555.98
2008-01-25,591.81,595.00,566.18,566.40,6966000,566.40
2008-01-24,558.80,579.69,554.14,574.49,9400900,574.49
2008-01-23,560.71,568.00,519.00,548.62,16965700,548.62
2008-01-22,562.03,597.50,561.20,584.35,9501500,584.35
2008-01-18,608.36,609.99,598.45,600.25,8539600,600.25
2008-01-17,620.76,625.74,598.01,600.79,8216800,600.79
2008-01-16,628.97,639.99,601.93,615.95,10560000,615.95
2008-01-15,645.90,649.05,635.38,637.65,5568200,637.65
2008-01-14,651.14,657.40,645.25,653.82,4447500,653.82
2008-01-11,642.70,649.47,630.11,638.25,4977000,638.25
2008-01-10,645.01,657.20,640.11,646.73,6334200,646.73
2008-01-09,630.04,653.34,622.51,653.20,6739700,653.20
2008-01-08,653.00,659.96,631.00,631.68,5339100,631.68
2008-01-07,653.94,662.28,637.35,649.25,6403400,649.25
2008-01-04,679.69,680.96,655.00,657.00,5359800,657.00
2008-01-03,685.26,686.85,676.52,685.33,3252500,685.33
2008-01-02,692.87,697.37,677.73,685.19,4306900,685.19
